1,G01,G08,03662625_G01.zsd-G08-2_G08.zsd,24.538,334.4943,-454.0672,4.4,5.7,3.6
2,G02,G01,02912625_G02.zsd-03662625_G01.zsd,366.6081,252.4775,-72.1322,3.9,5.2,3.3
3,G02,G03,02942598_G02.zsd-03662593_G03.zsd,-142.6585,274.8592,-498.6268,2.2,2.9,3.1
4,G02,G08,02912625_G02.zsd-G08-2_G08.zsd,391.1446,586.9719,-526.1996,5.1,7,3.6
5,G04,G02,02912596_G04.zsd-02942598_G02.zsd,240.5764,-466.9043,845.0763,3.8,6.1,5.7
6,G04,G03,02912596_G04.zsd-03662593_G03.zsd,97.9176,-192.0442,346.4504,3.9,6.2,5.8
7,G04,G05,02912624_G04.zsd-03662623_G05.zsd,312.0529,204.7542,-46.2727,5,7.4,6.2
8,G04,G08,02912624_G04.zsd-G08-1_G08.zsd,631.7224,120.0604,318.8589,5.3,8,6.4
9,G05,G08,03662623_G05.zsd-G08-1_G08.zsd,319.6694,-84.6924,365.1325,3.5,5,4.5
10,G06,G05,02912601_G06.zsd-03662601_G05.zsd,-389.8409,-259.9286,63.9772,2.8,5.6,4.2
11,G06,G07,02912602_G06.zsd-03662602_G07.zsd,348.1237,196.0239,-5.7698,3.3,4.7,2.9
12,G06,G09,02912601_G06.zsd-02942601_G09.zsd,167.461,-202.2986,413.9784,1.9,4,2.9
13,G06,G10,02912602_G06.zsd-02942602_G10.zsd,590.3502,51.7774,383.2115,4.6,6.7,4.3
14,G09,G01,02942604_G09.zsd-03662604_G01.zsd,-262.1716,-476.8271,469.2073,3.2,5,4.5
15,G09,G05,02942601_G09.zsd-03662601_G05.zsd,-557.303,-57.6294,-350.0012,2.8,5.7,4.2
16,G10,G07,02942602_G10.zsd-03662602_G07.zsd,-242.2254,144.245,-388.9825,4.1,6,3.8
17,G10,G11,02942603_G10.zsd-03662603_G11.zsd,29.8015,-284.5109,429.1936,3,5,2.6
18,G12,G01,02912604_G12.zsd-03662604_G01.zsd,-390.4041,-259.3449,63.9463,3.4,5.3,4.8
19,G12,G09,02912604_G12.zsd-02942604_G09.zsd,-128.2336,217.4814,-405.2599,3.2,5.5,4.4
20,G12,G10,02912603_G12.zsd-02942603_G10.zsd,294.655,471.5493,-436.0233,3.5,5.9,3
21,G12,G11,02912603_G12.zsd-03662603_G11.zsd,324.4561,187.0389,-6.8294,3.1,5.2,2.8
