1,已知点,G01,-2612808.838,4748993.278,3350430.67,,,
2,未知点,G02
3,已知点,g03,-2613318.061,4749015.617,3350004.142,,,
4,未知点,G04
5,未知点,g05
6,未知点,g06
7,未知点,G07
8,未知点,G08
9,已知点,g09,-2612546.64,4749470.068,3349961.443,,,
10,已知点,G10,-2612124.464,4749725.741,3349931.553,,,
11,未知点,g11
12,未知点,G12
