1,已知点,G01,-2612808.8378000 ,4748993.2784000 ,3350430.6698000 ,,,
2,未知点,G02,-2613175.4394000 ,4748740.7892000 ,3350502.7893000 ,,,
3,已知点,g03,-2613318.0860000 ,4749015.6440000 ,3350004.1584000 ,,,
4,未知点,G04,-2613416.0098000 ,4749207.6866000 ,3349657.7143000 ,,,
5,未知点,g05,-2613103.9582000 ,4749412.4525000 ,3349611.4570000 ,,,
6,未知点,g06,-2612714.1272000 ,4749672.3857000 ,3349547.4793000 ,,,
7,未知点,G07,-2612366.0126000 ,4749868.4107000 ,3349541.7221000 ,,,
8,未知点,G08,-2612784.2884000 ,4749327.7603000 ,3349976.5848000 ,,,
9,已知点,g09,-2612546.6619000 ,4749470.0894000 ,3349961.4606000 ,,,
10,已知点,G10,-2612123.7856000 ,4749724.1690000 ,3349930.6998000 ,,,
11,未知点,g11,-2612093.9928000 ,4749439.6632000 ,3350359.9034000 ,,,
12,未知点,G12,-2612418.4349000 ,4749252.6276000 ,3350366.7340000 ,,,
