1,G10,G07,g09
2,g09,G08,g03
3,g03,G01
4,G01,G02,g03,G01
5,g11,G12,G01,g11
6,g06,g05,G04,g06
7,g09,G12,G08,g09
8,G07,g09,g06,G07
9,g09,G08,G04,g06,g09
10,G12,G01,g03,G08,G12
11,G08,g03,G04,G08
12,g11,G12,g09,G07,g11
13,G10,g11,G07,G10
