RENIX VERSION,3.03
Name,GPS WEEK,GPS TIME IN WEEK /s,Xk/m,Yk/m,Zk/m
G01,2091,7200,-12128402.2449085,-8553557.05059138,-12128402.2449085
G01,2091,7184,5969195.28160763,-13594821.715196,5969195.28160763
G01,2091,14384,-19329146.7578445,-13276709.1742625,-19329146.7578445
G01,2091,21600,24264073.280952,6284870.37636115,24264073.280952
G01,2091,28800,3531162.22792479,-14639567.6396827,3531162.22792479

